,Unnamed: 0,author,published_at,updated_at,like_count,text,clean_text,sentiment
0,0,@PoetrybyEraj6,2024-06-10T08:57:40Z,2024-06-10T08:57:40Z,1,PAK waly nai kr skty isk lye apply?,pak wali nai kr skti isk lye appli,0.0
1,1,@anujasadavarte4778,2024-06-09T11:03:45Z,2024-06-09T11:03:45Z,0,I am diploma student not degree can I एलिजिबल to apply this?,diploma student degre appli,0.0
2,2,@AnkitaBs--,2024-06-09T06:13:55Z,2024-06-09T06:13:55Z,0,Bsc cs student bhi kar sakte hai kya ?,bsc cs student bhi kar sakt hai kya,0.0
3,3,@jayrumap9276,2024-06-09T03:45:43Z,2024-06-09T03:45:43Z,0,its not for BCA students . upload intership that BCA students can do .,bca student upload intership bca student,0.0
4,4,@AnkitKumar-px6dr,2024-06-07T17:04:12Z,2024-06-07T17:04:12Z,0,Is it for pg passout student ??,pg passout student,0.0
5,5,@adam_7903,2024-06-07T05:37:04Z,2024-06-07T05:37:04Z,0,i will graduate in 2027 but im very much intrested in doing this program 🥲,graduat im much intrest program,1.0
6,6,@shreyachanore5865,2024-06-07T05:34:51Z,2024-06-07T05:34:51Z,1,For bca 3 year student?,bca year student,0.0
7,7,@user-hg5bt8th8c,2024-06-06T16:49:32Z,2024-06-06T16:49:32Z,0,bakwaas video,bakwaa video,0.0
8,8,@VenkataBalajiKadiri,2024-06-06T12:06:26Z,2024-06-06T12:06:26Z,0,"bhai , 2027 Graduate hone bache ke liye intership bathav",bhai graduat hone bach ke liy intership bathav,0.0
9,9,@Suresh-iu2tx,2024-06-06T04:13:18Z,2024-06-06T04:13:18Z,0,"I&#39;m currently working as digital marketer, can i join?",current work digit market join,0.0
10,10,@Bulbul90936,2024-06-06T03:14:42Z,2024-06-06T03:14:42Z,2,Kya only students hi apply kar sakte hai ? Koi job karti hai to nehi kar payegi ?,kya student hi appli kar sakt hai koi job karti hai nehi kar payegi,0.0
11,11,@wonderworldmusic3746,2024-06-06T02:35:13Z,2024-06-06T02:35:13Z,0,MCA student are eligible for internship????,mca student elig internship,0.0
12,12,@afsanapraween7835,2024-06-05T21:00:44Z,2024-06-05T21:00:44Z,0,Certificate milega ??,certif milega,0.0
13,13,@martinn8706,2024-06-05T15:04:11Z,2024-06-05T15:04:11Z,0,Bhai IBM data analytics coursera free me dilado plsssssssss,bhai ibm data analyt coursera free dilado plsssssssss,1.0
14,14,@sathwikreddy2078,2024-06-05T14:51:49Z,2024-06-05T14:51:49Z,0,Bhai provide udemy HTML course,bhai provid udemi html cours,0.0
15,15,@ghoststriker2544,2024-06-05T14:24:26Z,2024-06-05T14:24:26Z,0,Is it online or offline,onlin offlin,0.0
16,16,@manvigautam_,2024-06-05T13:50:23Z,2024-06-05T13:50:23Z,0,Power bi ka free course btao,power bi ka free cours btao,1.0
17,17,@saidinesh6733,2024-06-05T07:50:29Z,2024-06-05T07:50:29Z,0,Bro any node js and react js free courses???,bro node js react js free cours,1.0
18,18,@technoguru8425,2024-06-05T07:33:53Z,2024-06-05T07:33:53Z,0,bro also mention 1 thing this is only for 2025 and 2026 batch,bro also mention thing batch,0.0
19,19,@adarshsharma6609,2024-06-05T06:40:24Z,2024-06-05T06:40:24Z,0,Bro please provide solutions for this exam... on 23rd june,bro pleas provid solut exam rd june,0.0
20,20,@anjiii2559,2024-06-05T06:21:04Z,2024-06-05T06:21:04Z,0,Bhaiya koi govt intership jo sirf online hoti ho<br>Please please btaye,bhaiya koi govt intership jo sirf onlin hoti ho br pleas pleas btay,0.0
21,21,@AbhishekBhardwaj-wm4yu,2024-06-05T04:21:21Z,2024-06-05T04:21:21Z,0,Let me tell you..<br><br>I am an HR <br>At lernx...<br><br>Nd now am hiring the candidates for internship..<br><br>That is 2 month remote intership..<br><br>1.  Marketing intern <br>2. Human resources intern.<br>Are you looking forward for this opportunity..<br><br>You will lots of perks and certificate...<br><br>Stipend upto 10 k..<br><br><br>So If you are interested then reply me in 20 min...,let tell br br hr br lernx br br nd hire candid internship br br month remot intership br br market intern br human resourc intern br look forward opportun br br lot perk certif br br stipend upto k br br br interest repli min,1.0
22,22,@gauravvishwakarmasuccess2418,2024-06-04T23:42:30Z,2024-06-04T23:42:30Z,0,Sir 12th pass wale form bhar sakte hai,sir th pass wale form bhar sakt hai,0.0
23,23,@shreyaverma7971,2024-06-04T18:31:23Z,2024-06-04T18:31:23Z,1,Please provide the material for test,pleas provid materi test,0.0
24,24,@KarthikDances,2024-06-04T17:58:35Z,2024-06-04T17:58:35Z,22,I don&#39;t know  why u guys  are putting a thumbnail that is stipend with 1 Lakhs it is basically to learn from Amazon ML scientists.<br>To reach your videos don&#39;t spread wrong information humble request 🙏,know u guy put thumbnail stipend lakh basic learn amazon ml scientist br reach video spread wrong inform humbl request,-1.0
25,25,@studywithfun0312,2024-06-04T16:37:13Z,2024-06-04T16:37:13Z,0,Domain mai kya bhare isme no option hai hi nahi,domain mai kya bhare ism option hai hi nahi,0.0
26,26,@jayasreeskitchen6220,2024-06-04T16:34:54Z,2024-06-04T16:34:54Z,0,Bhaiya telegram par material nhi h,bhaiya telegram par materi nhi h,0.0
27,27,@Ojasvi_Tejasvi_Tapasvi-Bharat,2024-06-04T15:59:54Z,2024-06-04T15:59:54Z,1,Is it for 2nd year students?,nd year student,0.0
28,28,@MAVLA_CHHATRAPATINCHA_96k,2024-06-04T14:32:36Z,2024-06-04T14:32:36Z,0,College ka I&#39;d nahi hoga to kya kare,colleg ka nahi hoga kya kare,0.0
29,29,@Sai-gv1xg,2024-06-04T13:59:00Z,2024-06-04T13:59:00Z,1,Bhaya do bsc students eligible,bhaya bsc student elig,0.0
30,30,@HoneyThisSide-qx3xl,2024-06-04T13:51:50Z,2024-06-04T13:51:50Z,1,Bca k lie v btao kuch,bca k lie v btao kuch,0.0
31,31,@KORNUKRISHNAVENI-yp2bk,2024-06-04T13:34:31Z,2024-06-04T13:34:31Z,1,plz provide the material,plz provid materi,0.0
32,32,@shinyhunter4301,2024-06-04T13:30:26Z,2024-06-04T13:30:26Z,1,Can non engineering computer science  students join?,non engin comput scienc student join,0.0
33,33,@RajeshKumarcomedy-uj4ld,2024-06-04T13:29:54Z,2024-06-04T13:29:54Z,0,Sir Kya up free me Linux full training basic to advance main course free kar sakte hain udemy per free karva dijiye iska coupon code bhi banva dijiye ki ki hamare jaise bahut se bacche vah student Hain unko Linux sikhana hai plus hamen bhi sikhana hai,sir kya free linux full train basic advanc main cours free kar sakt hain udemi per free karva dijiy iska coupon code bhi banva dijiy ki ki hamar jais bahut se bacch vah student hain unko linux sikhana hai plu hamen bhi sikhana hai,1.0
34,34,@kasifkhan8853,2024-06-04T13:20:52Z,2024-06-04T13:20:52Z,1,Graduate bhi apply kar sakta ha kya,graduat bhi appli kar sakta ha kya,0.0
35,35,@shivangipriyapathak3600,2024-06-04T13:11:09Z,2024-06-04T13:11:09Z,4,And bhaiya online teaching k liye kaha apply kare after 12th jo confirm job mil jaaye,bhaiya onlin teach k liy kaha appli kare th jo confirm job mil jaay,0.0
36,36,@shivangipriyapathak3600,2024-06-04T13:09:09Z,2024-06-04T13:09:09Z,1,Bhaiya two months me koi free course h kyaa for architecture student,bhaiya two month koi free cours h kyaa architectur student,1.0
37,37,@pt.1008,2024-06-04T13:08:03Z,2024-06-04T13:08:03Z,1,Kya student jo pehle graduation kiya hua hain register kar sakte hain.,kya student jo pehl graduat kiya hua hain regist kar sakt hain,0.0
38,38,@nikhilrajput-cu1tf,2024-06-04T13:07:39Z,2024-06-04T13:07:39Z,1,Can non engineering students also apply?,non engin student also appli,0.0
39,39,@khushaagrawal7963,2024-06-04T13:05:15Z,2024-06-04T13:05:15Z,1,2024 bath k liye bhi opportunity,bath k liy bhi opportun,0.0
40,40,@impo_virals3734,2024-06-04T13:02:24Z,2024-06-04T13:02:24Z,1,Love uh bhai ❤ plz  add me in your team I will add big value,love uh bhai plz add team add big valu,1.0
